Subject,Collection Date,behavior_missing_stimulus_markers,behavior_total_duration,behavior_unexpected_durations,behavior_impedance_check_duration,behavior_ten_seconds_rest,behavior_average_response_time,eeg_event,eeg_percent_good,eeg_bad_channels_before,eeg_interpolated_channels,eeg_bad_channels_after,eeg_excluded_components,et_event,et_sampling_rate,et_left_gaze_point_valid,et_right_gaze_point_valid,et_left_gaze_origin_valid,et_right_gaze_origin_valid,et_left_pupil_valid,et_right_pupil_valid,et_xyz_measures_check,et_coordinate_system_check,et_LR_mean_diff,et_percent_over02,ecg_event,ecg_sampling_rate,ecg_percent_valid,ecg_average_heart_rate,ecg_kurtosis_SQI,ecg_power_spectrum_distribution_SQI,ecg_relative_baseline_power_sqi,ecg_SNR,eda_event,eda_sampling_rate,eda_signal_integrity_check,eda_average_scl,eda_scl_sd,eda_scl_cv,eda_average_scr_amplitude,eda_scr_validity,eda_snr,rsp_event,rsp_sampling_rate,rsp_percent_valid,rsp_snr,rsp_breath_amplitude_mean,rsp_breath_amplitude_std,rsp_breath_amplitude_min,rsp_breath_amplitude_max,rsp_rate_mean,rsp_rate_std,rsp_rate_min,rsp_rate_max,rsp_ptp_mean,rsp_ptp_std,rsp_ptp_min,rsp_ptp_max,rsp_baseline_drift,rsp_autocorrelation,mic_event,mic_sampling_rate,mic_lsl_wav_duration_diff,mic_num_NaN,mic_percent_valid,mic_quan25,mic_quan75,mic_std,mic_min,mic_max,cam_event,cam_collected_full_RestingState,cam_sampling_rate,cam_face_perc,lsl_et_num_losses,lsl_et_percent_lost,lsl_ps_num_losses,lsl_ps_percent_lost,lsl_mic_num_losses,lsl_mic_percent_lost,lsl_cam_num_losses,lsl_cam_percent_lost,lsl_eeg_num_losses,lsl_eeg_percent_lost,duration_mic_duration,duration_mic_mm:ss,duration_mic_percent,duration_cam_duration,duration_cam_mm:ss,duration_cam_percent,duration_et_duration,duration_et_mm:ss,duration_et_percent,duration_ps_duration,duration_ps_mm:ss,duration_ps_percent,duration_eeg_duration,duration_eeg_mm:ss,duration_eeg_percent,duration_expected_duration,duration_expected_mm:ss,duration_expected_percent
P5526990,2025-08-11 12:21:04,['None'],2190.564314903051,"['Onset_CampFriend', 'Onset_Tornado', 'Onset_BirthdayParty']",286.56546094076475,True,30.43061472593607,RestingState,87.58617011347121,"['E72', 'E21', 'E55', 'E62', 'Cz', 'E71', 'E31', 'E75']","['E72', 'E21', 'E62', 'E81', 'E71', 'Cz', 'E75']","['E8', 'E76']","[0, 1, 8, 9]",Experiment,119.99595212435173,67.69548654556274,67.48244166374207,67.74760484695435,67.51668453216553,67.69548654556274,67.48244166374207,True,True,0.2219829717946653,0.401075611868192,RestingState,1000.689606437081,100.0,50.632242418341896,9.901783332021138,0.6950355562302343,72.737389739615,7.254730089927131,RestingState,1000.689606437081,100.0,0.35311672114939446,0.004300245820709135,1.2177972786765352,0.019120436522403673,14.285714285714292,18.669586641986704,RestingState,1000.689606437081,100.0,18.796584041342648,0.1453370123368644,0.037465032960938394,0.06801469333044761,0.42499675262697134,16.87172136617193,0.75027503204344,14.362140610649668,19.52937872080715,3.634567700779169,0.7267233073756415,2.2534460388706066,6.14476261328673,0.006115736329891302,0.7340341554996539,Experiment,44099.22962833667,46.75400000000013,0,100.0,-36.0,35.0,121.4191568746846,-9195,11008,RestingState,True,29.450439474371247,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1858.6461,0:30:59,84.8478,2190.0353,0:36:30,99.9759,2190.5489,0:36:31,99.9993,2190.5624,0:36:31,99.9999,2190.5634,0:36:31,100.0,2190.5643,0:36:31,100.0
P5198715,2025-06-30 12:17:24,['None'],1624.610432176618,"['Onset_CampFriend', 'Onset_DanceContest']",270.36847783555277,True,20.867387300573423,RestingState,87.53912669549013,"['E55', 'E105', 'E126', 'E106', 'E127', 'E80', 'Cz']","['E55', 'E105', 'E14', 'E126', 'E80', 'Cz', 'E87']",['E127'],"[0, 3, 6, 7, 9, 11, 13]",Experiment,119.99592698034391,0.06618269253522158,0.08413923787884414,0.07644357974641025,0.08567837066948414,0.06618269253522158,0.08413923787884414,True,True,0.013595669907390251,,RestingState,500.1743398594645,100.0,83.34737630084439,12.251228060269085,0.8621462632309457,64.08029029374161,11.61053880019413,RestingState,500.1743398594645,100.0,0.3634272028425588,0.009320372806491319,2.5645776468001547,0.008222538944084245,25.0,18.382720641340082,RestingState,500.1743398594645,100.0,9.80024988999286,0.24384658601306236,0.2383990370305023,0.05147157284742004,1.555992086424169,18.7627679601804,3.1356337965028684,9.618270741253784,26.077644289710594,3.4415381718274496,1.4111712627438555,0.8696967723080888,8.698967026430182,0.041153365197341765,-0.028100825453831888,Experiment,44099.34282751327,65.25599999999986,0,100.0,-27.0,26.0,122.14718441227633,-11146,13627,RestingState,True,30.08816096291334,94.44444444444444,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1252.3439,0:20:52,77.0858,1624.2027,0:27:04,99.9749,,,,1624.6076,0:27:05,99.9998,1624.6099,0:27:05,100.0,1624.6104,0:27:05,100.0
P5182010,2024-10-16 16:44:58,['None'],2579.143457563361,"['Onset_CampFriend', 'Onset_DanceContest', 'Onset_Tornado', 'Onset_BirthdayParty']",553.7163342330605,True,33.10873231509634,RestingState,81.6277209240308,"['E7', 'E116', 'E127', 'E8', 'E39', 'E73', 'E126', 'E14', 'E95', 'E122', 'Cz']","['E21', 'E116', 'E39', 'E8', 'E73', 'E126', 'E14', 'E95', 'E122', 'Cz']","['E117', 'E127']","[0, 1, 4]",Experiment,119.99581969936223,41.1115288734436,46.238330006599426,42.14782416820526,46.42192721366882,41.1115288734436,46.238330006599426,True,True,4.700453684966393,6.966000298056247,RestingState,599.8625956426739,100.0,74.87769004802422,9.643361351177987,0.5727166460609389,40.29131880187703,5.643577665674825,RestingState,599.8625956426739,100.0,2.551363802219309,0.09795355256361692,3.839262455570304,0.01305378096276666,43.99999999999999,33.89648353703924,RestingState,599.8625956426739,100.0,15.256287035404952,0.41492046947693184,0.2704229543497582,0.15055117415495706,1.8003102346163211,18.52011143247779,3.029369195395113,8.014137944233731,26.49856004738699,3.3606922076067476,1.3318427123008891,0.6768216846976429,8.737001107190736,0.036793748952045464,0.1093063746476326,Experiment,44099.1164297412,63.228000000000065,0,100.0,-36.0,35.0,144.9580904450121,-3570,4623,RestingState,True,30.03626427629033,84.87208008898777,1,58.6744,1,0.5052,0,0.0,0,0.0,0,0.0,2207.172,0:36:47,85.5777,2579.1192,0:42:59,99.9991,1021.2939,0:17:01,39.5982,2579.1424,0:42:59,100.0,2579.1424,0:42:59,100.0,2579.1435,0:42:59,100.0
P5402677,2025-07-24 12:37:58,['None'],2166.398678046651,"['Onset_Tornado', 'Onset_BirthdayParty']",320.2832650768687,True,23.66332302331492,RestingState,91.62166486659467,"['Cz', 'E117', 'E126', 'E123', 'E106', 'E80', 'E55', 'E127', 'E19']","['Cz', 'E2', 'E108', 'E40', 'E114', 'E109', 'E19', 'E54', 'E26', 'E24', 'E21', 'E9', 'E3', 'E99', 'E22', 'E117', 'E116', 'E122', 'E27', 'E119', 'E79', 'E124', 'E14', 'E34', 'E115', 'E48', 'E123', 'E18', 'E127', 'E23', 'E45', 'E78']","['E125', 'E126', 'E38']","[0, 1, 3, 4, 14]",Experiment,119.99584651958966,76.65649652481079,72.76238799095154,81.21039867401123,73.55413436889648,76.65649652481079,72.76238799095154,True,True,5.775186491799744,1.3333833933159196,RestingState,499.8616985621884,100.0,65.4880763905858,10.781576835614137,0.6014587952790097,26.901261995026328,7.167498187679017,RestingState,499.8616985621884,100.0,2.980358383119846,0.4219143718551233,14.156497897862282,0.0023451157950067944,1.3333333333333286,47.01817344995434,RestingState,499.8616985621884,100.0,7.515327936012664,0.03363879080296136,0.03306519878722104,0.008540902755349026,0.3501748297462558,21.157182149083095,3.3163880381559214,11.555250108791219,27.232843476778996,1.318481296472901,0.8258797612873706,0.6881903600296937,6.477791819255799,0.011326975050435237,0.15540787246794788,Experiment,44099.22962833667,18.777000000000044,0,100.0,-46.0,45.0,211.59780815597264,-13083,13784,RestingState,True,30.038332826742366,98.99888765294772,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1823.423,0:30:23,84.1684,2165.3849,0:36:05,99.9532,2166.1583,0:36:06,99.9889,2166.3972,0:36:06,99.9999,2166.3977,0:36:06,100.0,2166.3987,0:36:06,100.0
P5694257,2025-07-31 16:35:22,['None'],2176.0164103317074,"['Onset_Tornado', 'Onset_BirthdayParty']",254.4674434128683,True,27.71926094994082,RestingState,94.98379935197407,"['E106', 'E7', 'E62', 'E55', 'E86', 'E31', 'Cz', 'E85', 'E112', 'E127', 'E79', 'E126', 'E77', 'E30', 'E78']","['E106', 'E43', 'E79', 'E54', 'E126', 'E127', 'E86', 'E76', 'E78', 'E55', 'Cz', 'E77', 'E44', 'E49', 'E62', 'E113', 'E85', 'E87', 'E56']",[],"[0, 1]",Experiment,119.99603090897783,70.75653672218323,69.565349817276,70.75998783111572,69.61705684661865,70.75653672218323,69.565349817276,True,True,1.1670573455286437,0.6736248236953455,RestingState,499.98554116949543,100.0,68.13029237381362,6.027849865225113,0.6198390661066461,24.725043946408828,8.573351958921286,RestingState,499.98554116949543,100.0,1.7543993969118628,0.04403648647118958,2.5100605112327155,0.007010754537847536,25.0,29.28939515690991,RestingState,499.98554116949543,100.0,0.7822371036479719,0.07216111589255693,0.05858594996278771,0.020851751627015493,0.3584862169050172,18.123780574457466,2.9452290806990606,10.141208407311513,24.243546586918143,1.5865082239647026,1.0445225889003067,0.522015088936314,5.936171586392447,0.041386446111126046,0.38672800035849786,Experiment,44098.89003429369,37.414999999999964,0,100.0,-42.0,41.0,225.93040053727893,-17047,22280,RestingState,True,30.06073420910563,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1808.6849,0:30:09,83.1191,2175.1526,0:36:15,99.9603,2175.7636,0:36:16,99.9884,2176.0129,0:36:16,99.9998,2176.0155,0:36:16,100.0,2176.0164,0:36:16,100.0
P5548165,2024-10-08 11:11:04,['None'],2508.2462423680117,"['Onset_CampFriend', 'Onset_FrogDissection', 'Onset_Tornado', 'Onset_BirthdayParty']",267.9322344372049,True,52.279742520967766,RestingState,87.27061811854355,"['Cz', 'E25', 'E106', 'E8']","['Cz', 'E25', 'E99', 'E127', 'E56', 'E8']",[],"[0, 1]",Experiment,119.99594709554933,90.05844593048096,86.88232898712158,90.23797512054443,86.98474764823914,90.05844593048096,86.88232898712158,True,True,3.2146704101993495,0.09914597706650986,RestingState,599.7197417792389,100.0,91.35346248003165,15.296083885342213,0.7702810397091755,19.487460785982304,10.065223257261998,RestingState,599.7197417792389,100.0,2.3169429909478727,0.8318128463031839,35.901308299471154,0.042890296093984426,50.0,51.72055283345574,RestingState,599.7197417792389,100.0,14.307036566245479,0.7504339324033422,0.2676368951716297,0.2798287437404054,1.7564518289278601,19.28826210374001,2.040667652941718,13.87007316357147,24.887564755537905,3.4686885093526736,0.9649161358794979,0.8970856985542923,7.4651536653982475,0.05558114846713445,0.2873245422562093,Experiment,44099.34282751327,35.547000000000025,0,100.0,-37.0,37.0,141.47152990010244,-8106,7418,RestingState,True,30.034116309164347,18.22222222222222,1,41.6308,3,1.434,0,0.0,0,0.0,0,0.0,2154.5529,0:35:55,85.8988,2508.2332,0:41:48,99.9995,1415.8145,0:23:36,56.4464,2508.2447,0:41:48,99.9999,2508.2454,0:41:48,100.0,2508.2462,0:41:48,100.0
P5029423,2025-01-29 12:00:38,['None'],2211.697342959,"['Onset_DanceContest', 'Onset_Tornado']",383.5995829163585,True,32.12093060533516,RestingState,89.69782829713829,"['Cz', 'E94', 'E128', 'E7', 'E106', 'E74', 'E81', 'E89', 'E83', 'E84', 'E90', 'E95', 'E88', 'E77', 'E82', 'E76', 'E126']","['E128', 'E94', 'E25', 'Cz', 'E74', 'E81', 'E89', 'E84', 'E90', 'E88', 'E77', 'E8', 'E95', 'E126']","['E73', 'E63', 'E1', 'E82']","[0, 1, 2, 3]",Experiment,119.99572540959531,53.89760136604309,51.799964904785156,53.914934396743774,52.08595395088196,53.89760136604309,51.799964904785156,True,True,1.9633073844925075,0.5902983785569984,RestingState,499.763081521899,100.0,75.14156700063958,17.069716310214172,0.7850940529612597,27.3552450344928,10.588019092958017,RestingState,499.763081521899,100.0,6.85479628401507,0.599685039462164,8.748400603247536,0.25602128875824304,93.75,49.41028689960031,RestingState,499.763081521899,100.0,10.067269891319041,0.24202893743006704,0.15157554818146832,0.061424954465774256,1.3744379068863408,17.973081967740427,2.226352460151061,10.718449855453928,24.80440924604552,3.8757838652393395,1.3785272285383092,0.6222948674403597,11.095257363573182,0.030364942139672804,0.22575157433238377,Experiment,44098.09766853276,61.07899999999995,0,100.0,-30.0,30.0,145.0774299009938,-8098,7274,RestingState,True,30.040601306370288,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1857.1212,0:30:57,83.9681,2211.6723,0:36:52,99.9989,2211.6871,0:36:52,99.9995,2211.696,0:36:52,99.9999,2211.6962,0:36:52,100.0,2211.6973,0:36:52,100.0
P5874642,2025-05-14 12:38:30,['None'],2298.4349803531513,"['Onset_Tornado', 'Onset_BirthdayParty']",197.45014510514739,True,41.4088694317231,RestingState,84.18336733469339,"['Cz', 'E106', 'E7', 'E31', 'E85', 'E112', 'E48']","['Cz', 'E48', 'E126']",[],"[0, 1, 2, 3]",Experiment,119.99576375408265,77.7876079082489,75.30550360679626,79.18440699577332,76.35491490364075,77.7876079082489,75.30550360679626,True,True,2.6557978634679014,1.6342627554923765,RestingState,499.9753719947496,100.0,88.91501527771513,18.263974837270094,0.7218979466156074,35.37443716761272,8.218690236369866,RestingState,499.9753719947496,100.0,1.963708814862387,1.0343520806043194,52.67339397653031,0.10646069724593568,92.3076923076923,54.70376440002699,RestingState,499.9753719947496,100.0,10.87838697611775,0.17826891222847066,0.19782134607207646,0.028829335438261182,1.0671998581802653,19.350335505065395,2.5516716379500157,11.182158917836539,26.224966358202327,3.164456948109947,1.3147607834820558,0.5600275854885695,8.74243062917958,0.02716210401546678,0.029910948467375877,Experiment,44099.25792807634,47.631000000000085,0,100.0,-34.0,34.0,193.4337681267235,-11079,11522,RestingState,True,30.03059273422562,69.77777777777779,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1910.8685,0:31:51,83.1378,2296.7296,0:38:17,99.9258,2298.1895,0:38:18,99.9893,2298.4332,0:38:18,99.9999,2298.4337,0:38:18,99.9999,2298.435,0:38:18,100.0
P5774061,2025-05-07 11:43:56,['None'],2039.5971119990572,"['Onset_CampFriend', 'Onset_Tornado', 'Onset_BirthdayParty']",234.85045819031075,True,22.5925853469276,RestingState,79.58953743795895,"['Cz', 'E127', 'E126', 'E7']","['Cz', 'E94', 'E127', 'E126', 'E78']","['E32', 'E125', 'E99']","[0, 8]",Experiment,119.99574929632224,67.86127090454102,63.88106942176819,68.55310797691345,64.47442173957825,67.86127090454102,63.88106942176819,True,True,4.029446980315532,1.63777180077125,RestingState,500.237459813272,100.0,65.42135119540261,13.055588012467929,0.7795852725010913,28.915024161255264,9.948845577834225,RestingState,500.237459813272,100.0,2.2939453349917853,0.28346059663525763,12.356902856897097,0.025445698595009926,53.57142857142857,45.67581463197403,RestingState,500.237459813272,100.0,8.000441737832237,0.19063737938097375,0.1593202757182652,0.04543293956102484,0.7885958071251422,19.092644435816567,3.026975939773171,10.682319478000355,25.385304429477475,3.298683327590962,1.533283838520358,0.9575452246936038,10.307104756939225,0.041899244288693856,-0.03146189376430536,Experiment,44099.1164297412,36.95400000000018,0,100.0,-44.0,43.0,198.64087361477308,-6790,6327,RestingState,True,30.07199424046076,73.77777777777777,0,0.0,1,83.5503,0,0.0,0,0.0,0,0.0,1705.9458,0:28:26,83.6413,2039.2248,0:33:59,99.9817,2039.3222,0:33:59,99.9865,332.0663,0:05:32,16.281,2039.5956,0:34:00,99.9999,2039.5971,0:34:00,100.0
P5070899,2025-02-17 17:10:24,['None'],2123.1963913126383,"['Onset_Tornado', 'Onset_BirthdayParty']",334.9652733117109,True,23.279128471796867,RestingState,93.5614091230316,"['Cz', 'E31', 'E35', 'E21', 'E8', 'E126']","['Cz', 'E28', 'E14', 'E33', 'E35', 'E21', 'E27', 'E34', 'E40', 'E8', 'E41', 'E126']","['E1', 'E41']","[0, 1, 3]",Experiment,119.99574091501347,36.42376959323883,41.481807827949524,36.68167591094971,41.85394644737244,36.42376959323883,41.481807827949524,True,True,5.115155274139038,3.651135594263556,RestingState,500.14558143487386,100.0,60.41199378159254,0.11842223696817289,0.9600878083282905,1.9885655104483242,3.631130098050721,RestingState,500.14558143487386,100.0,0.2796871938358314,0.015196503244105007,5.433392582509492,0.0014726274918813404,0.0,23.218203259385316,RestingState,500.14558143487386,100.0,13.979475256059658,0.4074362616192608,0.07290487398767674,0.22499685742587913,0.8549262120217168,23.601819521003616,1.8092623459175263,18.524896525592812,27.035899862520633,2.5932095255280343,0.5987670793680873,1.5355528863146901,4.894574825069867,0.015198514319951631,0.5111030301582932,Experiment,44099.22962833667,90.05499999999984,0,100.0,-27.0,26.0,132.8119867299557,-8675,7355,RestingState,True,30.045840636375896,71.30144605116796,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1759.0445,0:29:19,82.8489,2123.152,0:35:23,99.9979,2122.9253,0:35:23,99.9872,2123.1938,0:35:23,99.9999,2123.1955,0:35:23,100.0,2123.1964,0:35:23,100.0
